Aardvark,23
Guinea Pig,3
Guppy,2
Hammerhead Shark,20-25
Hamster,2-3
Hare,2-8
Harrier,16
Havanese,15
Hedgehog,3-6
Hercules Beetle,3
Hermit Crab,1-10
Heron,15
Highland Cattle,15-22
Himalayan,14
Hippopotamus,30
Honey Bee,6
Horn Shark,12
Horned Frog,5-8
Horse,25-30
Horseshoe Crab,20
Howler Monkey,15-20
Human,60-80
Humboldt Penguin,15
Hummingbird,3
Humpback Whale,50-60
Hyena,20-25
Ibis,8
Ibizan Hound,14
Iguana,15-20
Impala,12-15
Indian Elephant,55
Indian Palm Squirrel,2-4
Indian Rhinoceros,45-50
Indian Star Tortoise,30
Indochinese Tiger,18
Indri,15
Insect,2
Irish Setter,16
Irish WolfHound,9
Jack Russel,16
Jackal,8-15
Jaguar,12
Japanese Chin,14
Japanese Macaque,25
Javan Rhinoceros,30-45
Javanese,14
Jellyfish,1-5
Kakapo,50-65
Kangaroo,4-10
Keel Billed Toucan,15
Killer Whale,50-60
King Crab,15-30
King Penguin,15
Kingfisher,6
Kiwi,8
Koala,15
Komodo Dragon,25
Kudu,8-14
Labradoodle,12
Labrador Retriever,15
Ladybird,2
Leaf-Tailed Gecko,2
Lemming,1-3
Lemur,10-14
Leopard,10
Leopard Cat,10
Leopard Seal,20-24
Leopard Tortoise,50
Liger,18
Lion,8
Lionfish,10
Little Penguin,10
Lizard,1-30
Llama,15-20
Lobster,20-80
Long-Eared Owl,40
Lynx,12-20
Macaroni Penguin,15-20
Macaw,50
Magellanic Penguin,15
Magpie,8
Maine Coon,12
Malayan Civet,15
Malayan Tiger,18
Maltese,17
Manatee,50-70
Mandrill,20-28
Manta Ray,15
Marine Toad,10
Markhor,10
Marsh Frog,5
Masked Palm Civet,15
Mastiff,12
Mayfly,1-2
Meerkat,10
Millipede,7
Minke Whale,30-50
Mole,3-6
Molly,3
Mongoose,10-15
Monitor Lizard,8-30
Monkey,10-30
Monte Iberia Eleuth,1
Moorhen,1
Moose,10-16
Moray Eel,10-30
Moth,40
Mountain Gorilla,35-50
Mountain Lion,10-20
Mouse,2-5
Mule,15-20
Neanderthal,35-50
Neapolitan Mastiff,10
Newfoundland,10
Newt,2-15
Nightingale,1
Norfolk Terrier,15
Norwegian Forest,15
Numbat,4-8
Nurse Shark,20-25
Ocelot,8
Octopus,2-15
Okapi,20
Old English Sheepdog,12
Olm,10
Opossum,2-7
Orang-utan,30
Ostrich,50
Otter,15-25
Oyster,1
Pademelon,4-8
Panther,12
Parrot,40
Patas Monkey,12
Peacock,12
Pekingese,13
Pelican,16
Penguin,20
Persian,19
Pheasant,7
Pied Tamarin,8
Pig,8-15
Pika,3-6
Pike,12
Pink Fairy Armadillo,5
Piranha,20
Platypus,9
Pointer,13
Poison Dart Frog,2-4
Polar Bear,20
Pond Skater,1
Poodle,16
Pool Frog,1
Porcupine,8-12
Possum,5-8
Prawn,2
Proboscis Monkey,15
Puffer Fish,4
Puffin,15
Pug,14
Puma,10
Purple Emperor,1
Puss Moth,3
Pygmy Hippopotamus,30
Pygmy Marmoset,8-12
Quail,3
Quetzal,20
Quokka,5
Quoll,3-6
Rabbit,4-8
Raccoon,12-16
Raccoon Dog,3
Radiated Tortoise,30
Ragdoll,14
Rat,2-5
Red Knee Tarantula,20-30
Red Panda,8
Red Wolf,10
Red-handed Tamarin,8
Reindeer,12-15
Rhinoceros,30-45
River Dolphin,12-18
River Turtle,10-30
Robin,1
Rock Hyrax,5
Rockhopper Penguin,15
Roseate Spoonbill,10
Rottweiler,9
Royal Penguin,15
Russian Blue,14
Sabre-Toothed Tiger,20
Saint Bernard,10
Salamander,5-20
Sand Lizard,5
Saola,8
Scorpion,4-25
Scorpion Fish,10
Sea Dragon,2
Sea Lion,15-22
Sea Otter,12-15
Sea Slug,1-4
Sea Squirt,7-30
Sea Turtle,60-80
Sea Urchin,15-200
Seahorse,2
Seal,15-25
Serval,10
Sheep,5-10
Shih Tzu,15
Shrimp,1-2
Siamese,12
Siamese Fighting Fish,1
Siberian,15
Siberian Husky,14
Siberian Tiger,18
Silver Dollar,2
Skunk,5-8
Sloth,25-40
Slow Worm,10
Snail,1
Snake,30
Snapping Turtle,20-32
Snowshoe,14
Snowy Owl,10
Somali,19
South China Tiger,18
Spadefoot Toad,4-8
Sparrow,4
Spectacled Bear,20
Sperm Whale,50
Spider Monkey,15-27
Spiny Dogfish,25-80
Sponge,15-30
Squid,5-30
Squirrel,2-8
Squirrel Monkey,15
Sri Lankan Elephant,55
Staffordshire Bull Terrier,14
Stag Beetle,3
Starfish,3-27
Stellers Sea Cow,50
Stick Insect,1-2
Stingray,15
Stoat,4-6
Striped Rocket Frog,10
Sumatran Elephant,55
Sumatran Orang-utan,30
Sumatran Rhinoceros,30-45
Sumatran Tiger,18
Sun Bear,15
Swan,8
Tang,8
Tapanuli Orang-utan,30
Tapir,20-25
Tarsier,12
Tasmanian Devil,5-8
Tawny Owl,4
Termite,2
Tetra,2-5
Thorny Devil,12-20
Tibetan Mastiff,15
Tiffany,15
Tiger,18-25
Tiger Salamander,10-15
Tiger Shark,30-40
Tortoise,30-150
Toucan,12
Tree Frog,2-4
Tropicbird,10
Tuatara,50-100
Turkey,1-10
Turkish Angora,14
Uakari,16
Uguisu,2
Umbrellabird,12
Vampire Bat,8
Vervet Monkey,12
Vulture,20
Wallaby,12-15
Walrus,40
Warthog,12-18
Wasp,22
Water Buffalo,15-25
Water Dragon,10-20
Water Vole,0.5
Weasel,1
Welsh Corgi,13
West Highland Terrier,15
Western Gorilla,35
Western Lowland Gorilla,35
Whale Shark,60-70
Whippet,15
White Faced Capuchin,16-40
White Tiger,10
Wild Boar,15
Wildebeest,15-20
Wolf,10-12
Wolverine,10-15
Wombat,20-26
Woodlouse,2
Woodpecker,6-11
Woolly Mammoth,60
Woolly Monkey,7-10
Wrasse,3
X-Ray Tetra,2
Yak,15-20
Yellow-Eyed Penguin,10
Yorkshire Terrier,15
Zebra,20
Zebra Shark,15
Zebu,12-16
Zonkey,15
Zorse,15
